query,Description,COG
rcsB_1_rcsB,"Component of the Rcs signaling system, which controls transcription of numerous genes. RcsB is the response regulator that binds to regulatory DNA regions",K
ompC_ompC_1_ompC_2,Belongs to the Gram-negative porin family,M
dauA_3_dauA_1,COG0659 Sulfate permease and related transporters (MFS superfamily),P
lpfB_1,"Pili assembly chaperone PapD, C-terminal domain",NU
group_4927,Large extracellular alpha-helical protein,U
group_5664,Rhs Family,M
mkaC,"Bacterial regulatory helix-turn-helix protein, lysR family",K
group_3459,Belongs to the UPF0352 family,S
yejK,Nucleoid-associated protein,S
rplY,This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance,J
rsuA,Belongs to the pseudouridine synthase RsuA family,J
bcr,Major facilitator superfamily,EGP
yejG,YejG-like protein,S
yejE,ABC transporter (Permease,P
yejB,ABC transporter (permease),P
mepS_3,A murein DD-endopeptidase with specificity for D-Ala- meso-diaminopimelic acid (mDAP) cross-links. Its role is probably to cleave D-Ala-mDAP cross-links to allow insertion of new glycans and thus cell wall expansion. Functionally redundant with MepM and MepH. Also has weak LD-carboxypeptidase activity on L-mDAP-D-Ala peptide bonds,M
yeiP,translation elongation factor activity,J
fruB,Bifunctional PTS system fructose-specific transporter subunit IIA HPr protein,G
lacC,Belongs to the carbohydrate kinase PfkB family,F
cmpR,transcriptional regulator,K
lysP_1_lysP_2_lysP,amino acid,E
folE,GTP cyclohydrolase,F
galS,transcriptional regulator,K
mglB,Wtih MglAC is involved in the transport of beta-methylgalactoside,G
mglA_3_mglA_2_mglA_1,import. Responsible for energy coupling to the transport system,P
mglC,Branched-chain amino acid transport system / permease component,G
group_4443,Vancomycin high temperature exclusion protein,S
yohK,effector of murein hydrolase,M
pcpR_2_nodD2_2,transcriptional regulator,K
yohF_2_yohF_1_yohF,oxidoreductase,IQ
yohC,Membrane,S
pat_2,N-acetyltransferase,M
dld_1_dld_2_dld,Catalyzes the oxidation of D-lactate to pyruvate,C
group_4601,Belongs to the glycosyl hydrolase 3 family,G
yehZ,Periplasmic glycine betaine choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein),M
mlrA_mlrA_1_mlrA_2,Transcriptional regulator,K
metG,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation,J
mdtA_1_mdtA_2_macA_2,PFAM secretion protein HlyD family protein,M
group_4561,outer membrane efflux protein,MU
macB_2_macB_1,"ABC-type antimicrobial peptide transport system, permease component",V
lolD_2_btuD_2_yknY,"Part of the ABC transporter complex LolCDE involved in the translocation of lipoproteins, in an ATP-dependent manner",V
apbC,Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP,D
btsS,Histidine kinase,T
btsR,Response regulator of the LytR AlgR family,KT
trg_1_trg_2_trg_5,"chemotaxis, protein",NT
rcnB,Nickel/cobalt transporter regulator,S
yegS,the in vivo substrate is,I
mdtD,Major facilitator superfamily,EGP
mdtC_1_mdtC_2_mdtC_3_mdtC,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,V
group_4587,PFAM Phage derived protein Gp49-like (DUF891),K
dnaK_1_dnaK_2,Belongs to the heat shock protein 70 family,O
group_4603,Protein involved in outer membrane biogenesis,M
group_5727,"membrane protein, terc",P
wzb,Low molecular weight phosphatase family,T
group_3450,"PFAM Glycosyl transferase, family 2",M
cysE_1,Belongs to the transferase hexapeptide repeat family,E
group_2720,Glycosyl Transferase,M
group_3940,colanic acid is an exopolysaccharide produced under stress conditions that confers acid and heat tolerance,S
gmd_1_gmd_2_gmd,Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose,M
fcl,"Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction",GM
gmm,Belongs to the Nudix hydrolase family,F
group_1145,colanic acid biosynthesis protein,S
rfbB,Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily,M
rfbC,"Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4- hexulose",G
rfbX,Polysaccharide biosynthesis protein,S
group_4216,Protein of unknown function (DUF616),S
group_4612,EpsG family,S
wzzB_wzzE_2,chain length,M
hisG_1_hisG,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity,F
yeeZ_2_yeeZ,COG0451 Nucleoside-diphosphate-sugar epimerases,GM
argD_2_puuE_1_gabT_davT,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,E
plaP,Amino Acid,E
group_3556,PFAM acyltransferase 3,I
yeeA,Membrane,S
group_2725,Belongs to the UPF0265 family,S
yeeO,Mate efflux family protein,V
amn_amn_1_amn_2,Catalyzes the hydrolysis of the N-glycosidic bond of AMP to form adenine and ribose 5-phosphate. Involved in regulation of AMP concentrations,F
bluF_2_bluF_4_bluF_1_bluF_3_bluF,EAL domain,T
group_2201,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",C
oxyR_3_argP_2,transcriptional regulator,K
cbl,transcriptional regulator,K
mtfA_2_mtfA_1_mtfA,Belongs to the MtfA family,C
group_3338,DinI-like family,S
yedJ,Metal-dependent phosphohydrolase,S
yedI,protein conserved in bacteria,S
group_4013,Uncharacterized small protein (DUF2158),S
dsrB,Belongs to the DsrB family,S
rcsA_2_rcsA_3_rcsA_1,"Component of the Rcs signaling system, which controls transcription of numerous genes. Binds to DNA to regulate expression of genes",K
fliR,flagellar biosynthetic protein FliR,N
fliQ,Flagellar biosynthetic protein FliQ,N
fliP,Plays a role in the flagellum-specific transport system,N
fliO,flagellar,N
fliN,"FliN is one of three proteins (FliG, FliN, FliM) that form the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation",N
fliM,"FliM is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation",N
group_432,Controls the rotational direction of flagella during chemotaxis,N
fliJ,Flagellar protein that affects chemotactic events,N
fliH,Flagellar assembly protein,N
fliG,"FliG is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation",N
fliE,Flagellar hook-basal body complex protein FliE,N
group_3116,-,-
group_2202,Putative phage holin,S
clpP_1_clpP_2,Belongs to the peptidase S14 family,OU
group_2204,peptidase activity,S
group_2205,Phage minor tail protein L,S
group_2206,-,-
group_4595,-,-
group_4752,transcriptional,K
auaH_2_auaH_1,NmrA-like family,GM
fliS,flagellar protein FliS,N
fabG_4_baiA_1_fabG_3,Enoyl-(Acyl carrier protein) reductase,IQ
aptA,Transketolase,G
dxs_2_aptB,Transketolase,G
group_3661,acyl-protein synthetase,H
fliZ,biosynthesis protein FliZ,N
dcyD_2_dcyD_1_dcyD,"Catalyzes the alpha,beta-elimination reaction of D- cysteine and of several D-cysteine derivatives. It could be a defense mechanism against D-cysteine",E
yecS,amino acid ABC transporter,P
glnQ_2_artM_2,(ABC) transporter,E
sdiA_sdiA_2_sdiA_1,Transcriptional regulator,K
group_3499,Protein of unknown function (DUF2594),S
uvrY,response regulator,K
uvrC_1_uvrC_uvrC_2,The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision,L
pgsA,Belongs to the CDP-alcohol phosphatidyltransferase class-I family,I
ftnA_2_ftnA_1,Iron-storage protein,P
group_2743,YecR-like lipoprotein,S
tar_1_trg_5_tsr_3,"chemotaxis, protein",NT
group_3633,isomerase,G
group_4720,Protein of unknown function (DUF2766),S
araF_1_araF_2_araF,PFAM Periplasmic binding protein LacI transcriptional regulator,G
araG_2_araG_1_araG,Part of the ABC transporter complex AraFGH involved in arabinose import. Responsible for energy coupling to the transport system,P
araH,Belongs to the binding-protein-dependent transport system permease family,P
otsB_1_otsB_2_otsB,Catalytic activity. It is involved in the biological process described with trehalose biosynthetic process,G
flhD,"Functions in complex with FlhC as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region. Activates expression of class 2 flagellar genes, including fliA, which is a flagellum-specific sigma factor that turns on the class 3 genes. Also regulates genes whose products function in a variety of physiological pathways",K
flhC,"Functions in complex with FlhD as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region. Activates expression of class 2 flagellar genes, including fliA, which is a flagellum-specific sigma factor that turns on the class 3 genes. Also regulates genes whose products function in a variety of physiological pathways",K
motA,With MotB forms the ion channels that couple flagellar rotation to proton sodium motive force across the membrane and forms the stator elements of the rotary flagellar machine,N
motB_2_motB_motB_1,Flagellar Motor Protein,N
cheA_2_cheA_1_cheA,COG0643 Chemotaxis protein histidine kinase and related kinases,T
cheW,chemotaxis signal transduction protein,NT
cheB,catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR,NT
cheY,"Chemotaxis regulator that, when phosphorylated, interacts with the flagellar motor causing the flagella to spin clockwise which causes the cell to tumble",KT
flhA_3_flhA_2_flhA_flhA_1,"Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin",N
iprA_2_iprA_4_iprA_1_iprA_3,Winged helix-turn-helix DNA binding,T
argS,Arginyl-tRNA synthetase,J
cmoB,Catalyzes carboxymethyl transfer from carboxy-S- adenosyl-L-methionine (Cx-SAM) to 5-hydroxyuridine (ho5U) to form 5-carboxymethoxyuridine (cmo5U) at position 34 in tRNAs,J
yecN,"relative of glutathione S-transferase, MAPEG superfamily",S
yecD,hydrolase activity,Q
yebC,transcriptional regulatory protein,K
ruvC,Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group,L
ruvA,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB",L
znuB,COG1108 ABC-type Mn2 Zn2 transport systems permease components,P
znuC,Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system,P
znuA,"ABC-type Zn2 transport system, periplasmic component surface adhesin",P
group_4566,COG0739 Membrane proteins related to metalloendopeptidases,M
lpxM,Catalyzes the transfer of myristate from myristoyl-acyl carrier protein (ACP) to Kdo(2)-(lauroyl)-lipid IV(A) to form Kdo(2)-lipid A,M
pykA,Belongs to the pyruvate kinase family,G
hexR_3,transcriptional regulator,K
zwf_2_zwf_1_zwf,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone,G
eda,"Involved in the degradation of glucose via the Entner- Doudoroff pathway. Catalyzes the reversible, stereospecific retro- aldol cleavage of 2-Keto-3-deoxy-6-phosphogluconate (KDPG) to pyruvate and D-glyceraldehyde-3-phosphate. In the synthetic direction, it catalyzes the addition of pyruvate to electrophilic aldehydes with si-facial selectivity. It accepts some nucleophiles other than pyruvate, including 2-oxobutanoate, phenylpyruvate, and fluorobutanoate. It has a preference for the S-configuration at C2 of the electrophile",G
yebE,protein conserved in bacteria,S
exoX,3'-5' exonuclease activity on single or double-strand DNA,L
yebV,Protein of unknown function (DUF1480),S
yebT,paraquat-inducible protein b,Q
yebS_1_yebS_2_yebS,paraquat-inducible protein A,S
msrC,GAF domain-containing protein,T
prc,Belongs to the peptidase S41A family,M
htpX_4,Belongs to the peptidase M48B family,O
mgrB,"PhoP-regulated transcription is redox-sensitive, being activated when the periplasm becomes more reducing. MgrB acts between DsbA DsbB and PhoP PhoQ in this pathway. Represses PhoP PhoQ signaling, possibly by binding to the periplasmic domain of PhoQ, altering its activity and that of downstream effector PhoP",S
