Gene,Annotation
group_3670,hypothetical protein
group_3668,hypothetical protein
yhhT_1_yhhT_2,Putative transport protein YhhT;hypothetical protein
yhbE,putative inner membrane transporter YhbE
group_3667,hypothetical protein
group_3666,hypothetical protein
sseA,3-mercaptopyruvate sulfurtransferase
murR,HTH-type transcriptional regulator MurR
fliA,RNA polymerase sigma factor FliA
acrR_1_slmA_1_acrR_3_acrR_2,HTH-type transcriptional regulator AcrR;Nucleoid occlusion factor SlmA
lldR_1_lldR_2_lldR_3,Putative L-lactate dehydrogenase operon regulatory protein
csdE,Sulfur acceptor protein CsdE
dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase
grxB_1_grxB_2,Glutaredoxin 2
apaH,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
tsf,Elongation factor Ts
gmm,GDP-mannose mannosyl hydrolase
group_3649,hypothetical protein
gsiA_3_gsiA_1_gsiA_2,Glutathione import ATP-binding protein GsiA
group_3646,hypothetical protein
group_3645,hypothetical protein
lolD_2,Lipoprotein-releasing system ATP-binding protein LolD
wecE,dTDP-4-amino-46-dideoxygalactose transaminase
cspA,Cold shock protein CspA
group_3634,hypothetical protein
rpmE,50S ribosomal protein L31
group_3632,hypothetical protein
ibaG,Acid stress protein IbaG
wecB,UDP-N-acetylglucosamine 2-epimerase
ptsG_5_ptsG_2,PTS system glucose-specific EIICB component;hypothetical protein
sufC,putative ATP-dependent transporter SufC
ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
livH,High-affinity branched-chain amino acid transport system permease protein LivH
dusA,tRNA-dihydrouridine(20/20a) synthase
lptD,LPS-assembly protein LptD
upp,Uracil phosphoribosyltransferase
tus_2_tus_tus_1,DNA replication terminus site-binding protein
group_3616,hypothetical protein
mdoC,Glucans biosynthesis protein C
xylF_xylF_1_xylF_2,D-xylose-binding periplasmic protein
malG_2_araQ,Maltose/maltodextrin transport system permease protein MalG;L-arabinose transport system permease protein AraQ
znuA,High-affinity zinc uptake system protein ZnuA
grcA,Autonomous glycyl radical cofactor
dam,DNA adenine methylase
cnu,OriC-binding nucleoid-associated protein
group_3595,hypothetical protein
galU,UTP--glucose-1-phosphate uridylyltransferase
hflD,High frequency lysogenization protein HflD
group_3589,hypothetical protein
oxyR_2,hypothetical protein;Hydrogen peroxide-inducible genes activator
group_3582,hypothetical protein
group_3579,hypothetical protein
atpG,ATP synthase gamma chain
metK,S-adenosylmethionine synthase;hypothetical protein
pncB,Nicotinate phosphoribosyltransferase;hypothetical protein
glnL,Sensory histidine kinase/phosphatase NtrB
plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase
proC,Pyrroline-5-carboxylate reductase
gltB_gltB_1,Glutamate synthase [NADPH] large chain
uspC,Universal stress protein C
group_3568,hypothetical protein
infA,Translation initiation factor IF-1
group_3566,hypothetical protein
tctD,Transcriptional regulatory protein tctD
group_3565,hypothetical protein
lpxM,Lipid A biosynthesis myristoyltransferase
asnA,Aspartate--ammonia ligase
cfxP,Phosphoribulokinase plasmid
rfaH,Transcription antitermination protein RfaH
pldA,Phospholipase A1
cmpR,HTH-type transcriptional activator CmpR
rpoH,RNA polymerase sigma factor RpoH
prs_2,Ribose-phosphate pyrophosphokinase
glpE_1_glpE_2,Thiosulfate sulfurtransferase GlpE
prfB,Peptide chain release factor RF2
mglB,D-galactose-binding periplasmic protein
emrA_3_emrA_2_emrA_1,Multidrug export protein EmrA
ybiS,putative LD-transpeptidase YbiS
benM,HTH-type transcriptional regulator BenM
mntS,Small protein MntS
yqaA,Inner membrane protein YqaA
cdiA2_cdiA,hypothetical protein;tRNA nuclease CdiA-2;tRNA nuclease CdiA
group_3530,hypothetical protein
soxS,hypothetical protein;Regulatory protein SoxS
waaA,3-deoxy-D-manno-octulosonic acid transferase
envZ,Osmolarity sensor protein EnvZ
lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
groS,10 kDa chaperonin
group_3520,hypothetical protein
dauA_3_dauA_1,C4-dicarboxylic acid transporter DauA
ilvM,Acetolactate synthase isozyme 2 small subunit
ghxP,Guanine/hypoxanthine permease GhxP
group_3519,hypothetical protein
lysO_lysO_2_lysO_1,Lysine exporter LysO
hcr_2_hcr_1_hcr,NADH oxidoreductase HCR
flgJ,Peptidoglycan hydrolase FlgJ
ubiJ_1_ubiJ_2,Ubiquinone biosynthesis accessory factor UbiJ
group_3514,hypothetical protein
cheR,Chemotaxis protein methyltransferase
rnpA,hypothetical protein;Ribonuclease P protein component
tyrB,Aromatic-amino-acid aminotransferase
dapA_2,4-hydroxy-tetrahydrodipicolinate synthase
chiP_chiP_1_chiP_2,Chitoporin
nadK,NAD kinase
group_3509,hypothetical protein
htpX_4,Protease HtpX
ptsH,Phosphocarrier protein HPr
pspB_2,Phage shock protein B
group_3499,hypothetical protein
ompL,Porin OmpL
padC,Phenolic acid decarboxylase PadC
glmU_1,Bifunctional protein GlmU
uvrY,Response regulator UvrY
hscB,Co-chaperone protein HscB
licT_licT_1,Transcription antiterminator LicT
ispA,Farnesyl diphosphate synthase
ansA,L-asparaginase 1
rbsD,D-ribose pyranase
ybdK,Putative glutamate--cysteine ligase 2
yibF,putative GST-like protein YibF
infC,Translation initiation factor IF-3
group_3484,hypothetical protein
satP,Succinate-acetate/proton symporter SatP
nlpI_nlpI_2,Lipoprotein NlpI
rlmE,Ribosomal RNA large subunit methyltransferase E
nudJ,Phosphatase NudJ
group_3475,hypothetical protein
nagB,Glucosamine-6-phosphate deaminase
fadB_2,hypothetical protein;Fatty acid oxidation complex subunit alpha
cyoE,Protoheme IX farnesyltransferase
rhtA,Threonine/homoserine exporter RhtA
rbsB,Ribose import binding protein RbsB
livF_1,High-affinity branched-chain amino acid transport ATP-binding protein LivF
group_3466,hypothetical protein
group_3459,hypothetical protein
rpsR,30S ribosomal protein S18
ygdR_1,putative lipoprotein YgdR
argD,Acetylornithine/succinyldiaminopimelate aminotransferase
yebE,Inner membrane protein YebE
fis,DNA-binding protein Fis
pstA,Phosphate transport system permease protein PstA
nrdG,Anaerobic ribonucleoside-triphosphate reductase-activating protein
group_3450,hypothetical protein
yigB,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
nupC_1,Nucleoside permease NupC
group_3444,hypothetical protein
rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
group_3433,hypothetical protein
hupB,DNA-binding protein HU-beta
cspD,Cold shock-like protein CspD
fdoG_2,Formate dehydrogenase-O major subunit
glgA,Glycogen synthase
srlR,Glucitol operon repressor
nsrR,HTH-type transcriptional repressor NsrR
hexR_3,HTH-type transcriptional regulator HexR
nudE,ADP compounds hydrolase NudE
yhcH,putative protein YhcH
group_3411,hypothetical protein
pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase
rcsC_2_rcsC_1_rcsC,Sensor histidine kinase RcsC
yadV_1_yadV,putative fimbrial chaperone YadV
group_3404,hypothetical protein
pdhR,Pyruvate dehydrogenase complex repressor
mutT,8-oxo-dGTP diphosphatase
nusA,Transcription termination/antitermination protein NusA
rcsB_1_rcsB,Transcriptional regulatory protein RcsB
glpR_2_glpR_1,Glycerol-3-phosphate regulon repressor
iprA_3_iprA_1_iprA_4,Inhibitor of hydrogen peroxide resistance
group_3396,hypothetical protein
holC,DNA polymerase III subunit chi
group_3393,hypothetical protein
dppC,Dipeptide transport system permease protein DppC
fieF,Ferrous-iron efflux pump FieF
fdoH,Formate dehydrogenase-O iron-sulfur subunit
nanA,N-acetylneuraminate lyase
xerD,Tyrosine recombinase XerD
carA,Carbamoyl-phosphate synthase small chain
rpoB,DNA-directed RNA polymerase subunit beta
hemY,Protein HemY
ybhK,Putative gluconeogenesis factor
cysD,Sulfate adenylyltransferase subunit 2
rpmB,50S ribosomal protein L28
acpP,Acyl carrier protein
mak,Fructokinase
yedI,Inner membrane protein YedI
dasC,Diacetylchitobiose uptake system permease protein DasC
yebV,putative protein YebV
atpE,ATP synthase subunit c
lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase
lpxL,Lipid A biosynthesis lauroyltransferase
xseB,Exodeoxyribonuclease 7 small subunit
yhdT,putative membrane protein YhdT
fabD,Malonyl CoA-acyl carrier protein transacylase
ilvE,Branched-chain-amino-acid aminotransferase
thrB,Homoserine kinase
aaeA_1,p-hydroxybenzoic acid efflux pump subunit AaeA
hemC,Porphobilinogen deaminase
grxC,Glutaredoxin 3
truB,tRNA pseudouridine synthase B
dmlR_3,HTH-type transcriptional regulator DmlR
cyoA,Cytochrome bo(3) ubiquinol oxidase subunit 2
gshB,Glutathione synthetase
corA_1,Magnesium transport protein CorA
group_3225,hypothetical protein
group_3224,hypothetical protein
bssS,Biofilm regulator BssS
rpsQ,30S ribosomal protein S17
fabH_1,3-oxoacyl-[acyl-carrier-protein] synthase 3
talB,Transaldolase B
ytfQ,ABC transporter periplasmic-binding protein YtfQ
group_3206,hypothetical protein
ftsE,Cell division ATP-binding protein FtsE
potH,Putrescine transport system permease protein PotH
pfkA,ATP-dependent 6-phosphofructokinase isozyme 1
group_3194,hypothetical protein
lipA,Lipoyl synthase
lepB,Signal peptidase I
fliE,Flagellar hook-basal body complex protein FliE
alx,Putative membrane-bound redox modulator Alx
cysK,Cysteine synthase A
group_3180,hypothetical protein
ydcV_3,Inner membrane ABC transporter permease protein YdcV
ghrB,Glyoxylate/hydroxypyruvate reductase B
yajO,1-deoxyxylulose-5-phosphate synthase YajO
gstA,Glutathione S-transferase GstA
aroB,3-dehydroquinate synthase
epmA,Elongation factor P--(R)-beta-lysine ligase
kdpE,KDP operon transcriptional regulatory protein KdpE
ybfE,putative protein YbfE
gltI,Glutamate/aspartate import solute-binding protein
gltK,Glutamate/aspartate import permease protein GltK
cspE,Cold shock-like protein CspE
araH,L-arabinose transport system permease protein AraH
nuoH,NADH-quinone oxidoreductase subunit H
group_3161,hypothetical protein
dctP,Solute-binding protein
pheS,Phenylalanine--tRNA ligase alpha subunit
dusB,tRNA-dihydrouridine synthase B
accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
dapD,2345-tetrahydropyridine-26-dicarboxylate N-succinyltransferase
group_3152,hypothetical protein
rsmA,Ribosomal RNA small subunit methyltransferase A
apaG,Protein ApaG
mreD,Rod shape-determining protein MreD
group_3146,hypothetical protein
group_3145,hypothetical protein
hosA,Transcriptional regulator HosA
dppD,Dipeptide transport ATP-binding protein DppD
rpsO,30S ribosomal protein S15
fbp,Fructose-16-bisphosphatase class 1
add,Adenosine deaminase
trpS,Tryptophan--tRNA ligase
ptsO,Phosphocarrier protein NPr
ltaE,Low specificity L-threonine aldolase
hupA,DNA-binding protein HU-alpha
group_3093,hypothetical protein
rpoZ,DNA-directed RNA polymerase subunit omega
tsaD,tRNA N6-adenosine threonylcarbamoyltransferase
prmB,50S ribosomal protein L3 glutamine methyltransferase
cysP,Thiosulfate-binding protein
rodZ,Cytoskeleton protein RodZ
plsX,Phosphate acyltransferase
gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+]
kdgR_2,HTH-type transcriptional regulator KdgR
group_3066,hypothetical protein
rpsS,30S ribosomal protein S19
nagZ,Beta-hexosaminidase
ybhN,Inner membrane protein YbhN
murB,UDP-N-acetylenolpyruvoylglucosamine reductase
epmB,L-lysine 23-aminomutase
ppiC,Peptidyl-prolyl cis-trans isomerase C
bamC,Outer membrane protein assembly factor BamC
ppnP,Pyrimidine/purine nucleoside phosphorylase
rplY,50S ribosomal protein L25
ihfB,Integration host factor subunit beta
bioB,Biotin synthase
guaC,GMP reductase
rfaF,ADP-heptose--LPS heptosyltransferase 2
hpf,Ribosome hibernation promoting factor
group_3002,hypothetical protein
aroG,Phospho-2-dehydro-3-deoxyheptonate aldolase Phe-sensitive
group_2995,hypothetical protein
ybeZ,PhoH-like protein
hemE,Uroporphyrinogen decarboxylase
recA_1,Protein RecA
degS,Serine endoprotease DegS
yhbY,RNA-binding protein YhbY
queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
wecF,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
fbaA,Fructose-bisphosphate aldolase class 2
alr,Alanine racemase biosynthetic
mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase
lptG,Lipopolysaccharide export system permease protein LptG
mltC,Membrane-bound lytic murein transglycosylase C
mutY,Adenine DNA glycosylase
nuoK,NADH-quinone oxidoreductase subunit K
yqjD,putative protein YqjD
rplW,50S ribosomal protein L23
ddlA,D-alanine--D-alanine ligase A
group_2891,hypothetical protein
rpsN,30S ribosomal protein S14
ydiK_1,Putative transport protein YdiK
lapA,Lipopolysaccharide assembly protein A
ybiR,Inner membrane protein YbiR
hfq,RNA-binding protein Hfq
elaB,Protein ElaB
tgt,Queuine tRNA-ribosyltransferase
rplU,50S ribosomal protein L21
ftsB,Cell division protein FtsB
rpsJ,30S ribosomal protein S10
nrdB_2,Ribonucleoside-diphosphate reductase 1 subunit beta
priB,Primosomal replication protein N
ygiN,putative quinol monooxygenase YgiN
rplX,50S ribosomal protein L24
zapE_1,Cell division protein ZapE
cfa,Cyclopropane-fatty-acyl-phospholipid synthase
nagA,N-acetylglucosamine-6-phosphate deacetylase
mtlD,Mannitol-1-phosphate 5-dehydrogenase
bolA,DNA-binding transcriptional regulator BolA
rsfS,Ribosomal silencing factor RsfS
metJ,Met repressor
argE,Acetylornithine deacetylase
adhB_1,Alcohol dehydrogenase 2
cyaY,Iron-sulfur cluster assembly protein CyaY
group_2805,hypothetical protein
iscA,Iron-binding protein IscA
group_2803,hypothetical protein
ygbE,Inner membrane protein YgbE
lapB,Lipopolysaccharide assembly protein B
group_2784,putative protein
ygaM,putative protein YgaM
bamB,Outer membrane protein assembly factor BamB
adh_1,Alcohol dehydrogenase
cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4
trxA,Thioredoxin 1
zapA,Cell division protein ZapA
tar_1_tar_2_tsr_6_tsr_1,hypothetical protein;Methyl-accepting chemotaxis protein II;Methyl-accepting chemotaxis protein I
aspC,Aspartate aminotransferase
xylR,Xylose operon regulatory protein
group_2763,hypothetical protein
ybaB,Nucleoid-associated protein YbaB
kbl,2-amino-3-ketobutyrate coenzyme A ligase
proP_2_proP_1_proP_3_ousA_2,Proline/betaine transporter;Glycine betaine/proline/ectoine/pipecolic acid transporter OusA
cmpD_1_cmpD_cmpD_2_btuD_4,Bicarbonate transport ATP-binding protein CmpD;hypothetical protein;Vitamin B12 import ATP-binding protein BtuD
uspB,Universal stress protein B
fdx,2Fe-2S ferredoxin
acrA,Multidrug efflux pump subunit AcrA
lldD,L-lactate dehydrogenase
ssuC_1_ssuC_2_ssuC_3,hypothetical protein;Putative aliphatic sulfonates transport permease protein SsuC
alaA,Glutamate-pyruvate aminotransferase AlaA
glnK,Nitrogen regulatory protein P-II 2
glnB,Nitrogen regulatory protein P-II
adhC2_adhA_yahK_1,hypothetical protein;NADP-dependent alcohol dehydrogenase C 2;putative formaldehyde dehydrogenase AdhA;Aldehyde reductase YahK
group_2720,hypothetical protein
fabB,3-oxoacyl-[acyl-carrier-protein] synthase 1
nifJ_nifJ_1_nifJ_2,hypothetical protein;Pyruvate-flavodoxin oxidoreductase;Pyruvate:ferredoxin oxidoreductase
sufS,Cysteine desulfurase
nagC,N-acetylglucosamine repressor
osmE,Osmotically-inducible putative lipoprotein OsmE
ybjJ,Inner membrane protein YbjJ
codA,Cytosine deaminase
group_2694,hypothetical protein
marA_2,Multiple antibiotic resistance protein MarA
bamE,Outer membrane protein assembly factor BamE
mntH,Divalent metal cation transporter MntH
alaC,Glutamate-pyruvate aminotransferase AlaC
hflK,Modulator of FtsH protease HflK
sstT,Serine/threonine transporter SstT
grxD,Glutaredoxin 4
sdhD,Succinate dehydrogenase hydrophobic membrane anchor subunit
glyA,Serine hydroxymethyltransferase
rhaA,L-rhamnose isomerase
envC,Murein hydrolase activator EnvC
rho,Transcription termination factor Rho
murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
wecC,UDP-N-acetyl-D-mannosamine dehydrogenase
puuE,4-aminobutyrate aminotransferase PuuE
amn_amn_1_amn_2,AMP nucleosidase
rplR,50S ribosomal protein L18
hemL,Glutamate-1-semialdehyde 21-aminomutase
yncE_yncE_1_yncE_2,putative protein YncE;hypothetical protein
sdaC_1,Serine transporter
yesO,Putative ABC transporter substrate-binding protein YesO
pspC,Phage shock protein C
rplT,50S ribosomal protein L20
rpsM,30S ribosomal protein S13
purA,Adenylosuccinate synthetase
group_2615,hypothetical protein
folB,Dihydroneopterin aldolase
thrC,Threonine synthase
ygdR_2,putative lipoprotein YgdR
group_2605,hypothetical protein
murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase
xylA,Xylose isomerase
mukF,Chromosome partition protein MukF
ftsL,Cell division protein FtsL
yhaH,Inner membrane protein YhaH
srmB,ATP-dependent RNA helicase SrmB
nuoF,NADH-quinone oxidoreductase subunit F
dgkA,Diacylglycerol kinase
pmbA,Metalloprotease PmbA
rplL,50S ribosomal protein L7/L12
rplN,50S ribosomal protein L14
glmM,Phosphoglucosamine mutase
wzyE,putative ECA polymerase
ppnN,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
proY,Proline-specific permease ProY
degQ,Periplasmic pH-dependent serine endoprotease DegQ
rpsL,30S ribosomal protein S12
marA_1,Multiple antibiotic resistance protein MarA
pntB,NAD(P) transhydrogenase subunit beta
fliO,Flagellar protein FliO
